"charger_id","charger_name","lat","lon","charger_type","power_kw","connector","number_of_chargers","simultaneous_capacity","price_per_kwh","open_hour","public_private","taxi_access"
"seoul_owned_아현2구역 공영주차장_3","아현2구역 공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_아현2구역 공영주차장_4","아현2구역 공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_아현2구역 공영주차장_5","아현2구역 공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_아현2구역 공영주차장_6","아현2구역 공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_아현2구역 공영주차장_7","아현2구역 공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_앵봉산가족캠핑장_1","앵봉산가족캠핑장","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_앵봉산가족캠핑장_2","앵봉산가족캠핑장","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_양재솔라스테이션_1","양재솔라스테이션","","","DC차데모+DC콤보","50","DC차데모+DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_양재솔라스테이션_2","양재솔라스테이션","","","DC차데모+DC콤보","50","DC차데모+DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_양재솔라스테이션_3","양재솔라스테이션","","","DC차데모+DC콤보","50","DC차데모+DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_양재솔라스테이션_4","양재솔라스테이션","","","DC차데모+DC콤보","50","DC차데모+DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_양재솔라스테이션_5","양재솔라스테이션","","","DC차데모+DC콤보","50","DC차데모+DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_양재솔라스테이션_6","양재솔라스테이션","","","DC차데모+DC콤보","50","DC차데모+DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_양재솔라스테이션_7","양재솔라스테이션","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_양재솔라스테이션_8","양재솔라스테이션","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_양재솔라스테이션_9","양재솔라스테이션","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_양재솔라스테이션_10","양재솔라스테이션","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_양재솔라스테이션_11","양재솔라스테이션","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_양재솔라스테이션_12","양재솔라스테이션","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_양천구민체육센터_1","양천구민체육센터","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_양천구민체육센터_2","양천구민체육센터","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_양천구청_1","양천구청","","","DC차데모+AC3상+DC콤보","50","DC차데모+AC3상+DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_어린이대공원 구의문 주차장 복합충전소_1","어린이대공원 구의문 주차장 복합충전소","","","DC콤보","200","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_어린이대공원 구의문 주차장 복합충전소_2","어린이대공원 구의문 주차장 복합충전소","","","DC콤보","200","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_어린이대공원 구의문 주차장 복합충전소_3","어린이대공원 구의문 주차장 복합충전소","","","DC콤보","200","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_어린이대공원 구의문 주차장 복합충전소_4","어린이대공원 구의문 주차장 복합충전소","","","DC콤보","200","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_어린이대공원 구의문 주차장 복합충전소_5","어린이대공원 구의문 주차장 복합충전소","","","DC콤보","200","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_어린이대공원 구의문 주차장 복합충전소_6","어린이대공원 구의문 주차장 복합충전소","","","DC콤보","200","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_어린이대공원 후문주차장_1","어린이대공원 후문주차장","","","DC콤보","50","DC콤보","1","1","","주중 08:00~19:00, 주말 09:00~18:00","서울시 소유",""
"seoul_owned_여의도 KBS홀 앞 전기차 충전소_1","여의도 KBS홀 앞 전기차 충전소","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_여의도 KBS홀 앞 전기차 충전소_2","여의도 KBS홀 앞 전기차 충전소","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_여의도 KBS홀 앞 전기차 충전소_3","여의도 KBS홀 앞 전기차 충전소","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_여의서로 노상공영주차장_1","여의서로 노상공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_여의서로 노상공영주차장_2","여의서로 노상공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_연남동 공영주차장_1","연남동 공영주차장","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_연남동 공영주차장_2","연남동 공영주차장","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_연남동 공영주차장_3","연남동 공영주차장","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_연남동 공영주차장_4","연남동 공영주차장","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_연희동 거주자우선주차장_1","연희동 거주자우선주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_연희제2공영주차장_1","연희제2공영주차장","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_연희제2공영주차장_2","연희제2공영주차장","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_영동대로85길 노상공영주차장(대명중학교 뒤)_1","영동대로85길 노상공영주차장(대명중학교 뒤)","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_영동대로85길 노상공영주차장(요금정산소 옆)_1","영동대로85길 노상공영주차장(요금정산소 옆)","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_오목교역 노상공영주차장_1","오목교역 노상공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_올림픽기념국민생활관_1","올림픽기념국민생활관","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_올림픽기념국민생활관_2","올림픽기념국민생활관","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_올림픽기념국민생활관_3","올림픽기념국민생활관","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_올림픽기념국민생활관_4","올림픽기념국민생활관","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_월계동 거주자주차장_1","월계동 거주자주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_월계복지문화센터_1","월계복지문화센터","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_위례성길 공영주차장 전기차 충전소_1","위례성길 공영주차장 전기차 충전소","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_위례성길 공영주차장 전기차 충전소_2","위례성길 공영주차장 전기차 충전소","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_으뜸공원 공영주차장 전기차 충전소_1","으뜸공원 공영주차장 전기차 충전소","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_으뜸공원 주차장 _1","으뜸공원 주차장 ","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_으뜸공원 주차장 _2","으뜸공원 주차장 ","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_은평평화공원 지하공영주차장_1","은평평화공원 지하공영주차장","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_을지로 노상공영주차장(신한은행 앞)_1","을지로 노상공영주차장(신한은행 앞)","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_을지로 노상공영주차장(하나은행 앞)_1","을지로 노상공영주차장(하나은행 앞)","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_이문동 거주자우선주차장_1","이문동 거주자우선주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_자양우성1차아파트 앞 전기차 충전소_1","자양우성1차아파트 앞 전기차 충전소","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_자양한양아파트 앞 전기차 충전소_1","자양한양아파트 앞 전기차 충전소","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_잠실 청소년센터 앞 전기차 충전소_1","잠실 청소년센터 앞 전기차 충전소","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_장안동근린공원 지하주차장_1","장안동근린공원 지하주차장","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_장안동근린공원 지하주차장_2","장안동근린공원 지하주차장","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_정릉천변 노상공영주차장_1","정릉천변 노상공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_제2월곡인조잔디구장_1","제2월곡인조잔디구장","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_종로구구민회관_1","종로구구민회관","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_중계근린공원 노상주차장_1","중계근린공원 노상주차장","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_중계근린공원 노상주차장_2","중계근린공원 노상주차장","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
